,SLA,Filamentous,Branch,Tap,SRL,root.invest,leafiness,branchiness,stem.strength,RRL,seed.mass,field.height,toughness
ANGE,17.53429,1,0,0,11.98253855,5.73566064,0.537260859,0,0.007037342,2.725212973,2.4462,114.98,106.2
ASTU,16.19628,0,0,1,42.12760291,19.54228096,3.051378283,0,0.007359223,4.529496182,6.0753,57.26,54.3
DECA,18.30805,0,0,1,22.82304111,7.524653043,1.519277933,0.507997152,0.005655644,3.775157394,5.2192,104.185,40.75
ELCA,15.21685,1,0,0,19.24978806,1.377094609,1.090815131,0,0.005379404,2.459281871,5.7273,94.25,218.625
ELTR,14.79651,1,0,0,10.5848891,1.398465,1.025252,0,0.00402295,1.971744,3.59195,86.14,123.125
LECA,12.24046,0,1,0,46.4568755,4.419646424,2.025499689,0.621992341,0.005700611,4.463982629,2.6525,72.715,64.1
MOFI,13.81197,1,0,0,35.19234126,1.724717564,2.243798774,0.121168582,0.012095154,6.508087703,0.3211,97.645,35.25
PEHI,14.75116,1,0,1,182.5890268,0.393176991,2.270208605,0.1875,0.017018125,7.524012852,0.08389,50,55.5
PYTE,12.97279,1,0,0,45.75611373,1.155083591,3.293881408,0.095760234,0.006183614,9.137824096,0.05241,53.005,162.5
PYVI,16.98493,1,0,0,25.84018083,3.296640548,3.887486312,0.030991736,0.006048885,4.62386275,0.09606,66.975,110.5
RUHI,16.92207,1,0,1,20.94032711,1.955476046,1.267952213,0.102040816,0.010805109,4.956472742,0.3098,69.63,37.1667
SCSC,18.41868,1,0,0,20.83340706,1.214637451,1.656793126,0,0.012056768,2.998433502,1.6234,52.38,102.6667
SOAL,11.08015,1,0,0,10.27106,0.3991569,0.6543582,0.2450842,0.05322996,0.9936104,0.1847,114.685,53.5454
SONE,14.2086,1,0,0,40.20247186,0.520565109,1.321122544,0.1481463,0.016578444,7.93185546,0.2287,54.16,33.41667
